Image, mV, nW, bps, GSR, valence, arousal
Landscapes_097_v,509.65118604017084,0.0,0.0,331.621103335454,7.6,2.71
Landscapes_049_h,509.7349441366155,0.0,0.0,329.15087655554544,7.24,2.88
Objects_160_h,509.89332968336527,0.0,0.0,335.67150287434987,5.41,5.73
Animals_056_h,509.91236036690583,0.0,0.0,327.62818999182633,1.86,7.5
People_038_h,509.83832879200725,0.0,0.0,325.9451407811081,1.73,8.5
People_130_h,509.88104765369224,0.0,0.0,316.80001818843215,7.17,5.74
Landscapes_050_h,509.7318359552605,0.0,0.0,334.39792670728383,6.87,2.98
Landscapes_104_h,509.80029101491454,0.0,0.0,325.24390687522737,7.2,2.8
Animals_020_h,509.85142130596677,0.0,0.0,338.98301698301697,5.34,6.43
Landscapes_067_h,509.54936363636364,0.0,0.0,335.0134545454545,4.98,4.76
Landscapes_103_v,509.8259801691986,0.0,0.0,336.6612389702538,7.83,2.43
People_208_h,510.2978298374648,0.0,0.0,320.62498864977755,1.85,7.67
Faces_159_h,509.27658607525905,0.0,0.0,323.66497000545354,1.93,7.37
Animals_090_h,510.00864422202,0.0,0.0,322.5324840764331,7.44,2.94
Faces_134_h,510.4668244288705,0.0,0.0,319.1086738873214,7.43,5.68
Faces_234_h,509.057734204793,0.0,0.0,307.31517792302105,7.37,5.76
Landscapes_054_h,510.0917189346423,0.0,0.0,300.12035269520953,7.6,2.94
Animals_035_h,509.75670535453037,0.0,0.0,316.13969082219836,5.08,6.13
Objects_014_h,509.7285883316647,0.0,0.0,316.1170474196778,5.12,5.73
People_028_h,509.72787570416136,0.0,0.0,326.90259858259134,5.48,6.54
Landscapes_120_v,509.861297945828,0.0,0.0,326.76495182694055,8.31,2.4
Faces_149_v,509.69000636537237,0.0,0.0,322.3913794671274,2.3,7.61
People_198_h,509.80784598619687,0.0,0.0,319.10715583000365,1.58,7.56
People_211_v,509.9880800727934,0.0,0.0,338.50609645131937,1.88,7.63
Objects_046_h,509.63398455247614,0.0,0.0,329.1988187187642,5.14,5.71
Faces_008_h,509.78227640797013,0.0,0.0,321.358566099536,5.21,6.0
Objects_186_v,509.849032609683,0.0,0.0,313.96057770914706,4.55,4.83
Landscapes_123_h,510.0820269777616,0.0,0.0,306.84196135617935,8.15,2.11
Objects_001_h,509.64556847075914,0.0,0.0,298.05058118416275,2.72,7.15
Objects_146_h,509.7155587887606,0.0,0.0,286.71537692097843,4.48,4.88
People_110_h,509.8329090909091,0.0,0.0,276.7576363636364,8.11,2.68
People_201_v,510.08498454826395,0.0,0.0,269.09052899472823,1.87,7.51
People_127_h,509.65757906215924,0.0,0.0,257.3046165030898,2.15,7.62
Landscapes_061_h,509.6958261344003,0.0,0.0,248.82722560698372,4.98,4.59
Faces_202_v,509.8844056706652,0.0,0.0,239.4590149036714,4.56,4.85
Objects_132_h,509.80366144866014,0.0,0.0,228.40673918811356,2.88,6.76
Animals_056_h,509.85814760686884,0.0,0.0,573.1193825356229,1.86,7.5
Animals_035_h,508.8565718957217,0.0,0.0,564.5792533381779,5.08,6.13
Landscapes_067_h,509.32860132860134,0.0,0.0,565.5084175084176,4.98,4.76
People_038_h,509.42172175808207,0.0,0.0,555.5256084271704,1.73,8.5
People_130_h,509.38922155688624,0.0,0.0,545.7034113591,7.17,5.74
Faces_134_h,509.994257064722,0.0,0.0,538.7715587967183,7.43,5.68
Faces_159_h,508.82012361388837,0.0,0.0,529.9420105435375,1.93,7.37
Animals_090_h,509.5831594229199,0.0,0.0,534.7549224208329,7.44,2.94
Landscapes_054_h,509.44145209717044,0.0,0.0,539.7230461286507,7.6,2.94
Landscapes_050_h,509.06415506415505,0.0,0.0,534.5324415324416,6.87,2.98
Landscapes_097_v,509.3934187801109,0.0,0.0,530.6399418234706,7.6,2.71
People_208_h,509.6647283300018,0.0,0.0,543.2311466472833,1.85,7.67
Animals_020_h,509.22359458723093,0.0,0.0,540.3423848878394,5.34,6.43
Objects_160_h,509.3018919410588,0.0,0.0,537.012279425141,5.41,5.73
Landscapes_103_v,509.36832529791684,0.0,0.0,532.652870008187,7.83,2.43
Landscapes_049_h,509.6672720668362,0.0,0.0,529.4161823465311,7.24,2.88
Faces_234_h,509.21399326721865,0.0,0.0,514.835137840051,7.37,5.76
Landscapes_104_h,509.3826591568527,0.0,0.0,511.14041889157096,7.2,2.8
People_028_h,509.696012381646,0.0,0.0,526.4287144938091,5.48,6.54
People_211_v,509.034392014519,0.0,0.0,547.754718693285,1.88,7.63
Objects_132_h,509.79455670853815,0.0,0.0,543.929364645913,2.88,6.76
Objects_046_h,509.00727338848986,0.0,0.0,541.930720974634,5.14,5.71
Landscapes_123_h,509.3591376330392,0.0,0.0,584.2868188847449,8.15,2.11
Objects_001_h,509.55143246930425,0.0,0.0,563.8315597999091,2.72,7.15
